start_utc=2026-02-22T17:07:00Z
out_md=/Users/quiznat/Desktop/Tree_of_Thought/phase2/benchmarks/analysis/protocol_v4_gate_report.md
out_json=/Users/quiznat/Desktop/Tree_of_Thought/phase2/benchmarks/analysis/protocol_v4_gate_report.json
protocol_v4_confirmatory_matrix_start=2026-02-22T17:15:58Z
tasks=['game24-demo', 'subset-sum-demo', 'linear2-demo', 'digit-permutation-demo']
models=['Qwen/Qwen3-Coder-Next:novita', 'Qwen/Qwen2.5-72B-Instruct', 'Qwen/Qwen2.5-Coder-32B-Instruct']
report_only=False dry_run=False
capability_parity_policy=equalize_react_to_tot
retry_policy=max_attempts_per_block=5,backoff_seconds=45

### EXEC
python3 /Users/quiznat/Desktop/Tree_of_Thought/phase2/code/scripts/run_structured_lockset.py --task-id game24-demo --panel-file /Users/quiznat/Desktop/Tree_of_Thought/phase2/benchmarks/panels/game24_lockset_v4.json --provider hf --model-id Qwen/Qwen3-Coder-Next:novita --conditions single,react,tot --tot-evaluator-mode model_self_eval --tot-max-depth 3 --tot-branch-factor 3 --tot-frontier-width 3 --hf-timeout-seconds 180 --hf-temperature 0.0 --hf-top-p 1.0 --capability-parity-policy equalize_react_to_tot --seed-policy item_hash --limit 50 --max-workers 12 --confidence-level 0.95 --bootstrap-samples 10000 --runs-dir /Users/quiznat/Desktop/Tree_of_Thought/phase2/benchmarks/runs/protocol_v4_confirmatory_matrix/game24_demo/qwen_qwen3_coder_next_novita --run-log /Users/quiznat/Desktop/Tree_of_Thought/phase2/reproducibility/run-log-protocol-v4.md --report-md /Users/quiznat/Desktop/Tree_of_Thought/phase2/benchmarks/analysis/game24_demo_confirmatory_report_qwen_qwen3_coder_next_novita_v4.md --report-json /Users/quiznat/Desktop/Tree_of_Thought/phase2/benchmarks/analysis/game24_demo_confirmatory_report_qwen_qwen3_coder_next_novita_v4.json
run=task=game24-demo model=Qwen/Qwen3-Coder-Next:novita attempt=1/5
capability_parity_policy=equalize_react_to_tot
task_tools_available=['calc']
condition_tools_exposed={'single': [], 'react': [], 'tot': []}
task=game24-demo item=g24-v4-014 condition=baseline-react run_id=BASELINE-REACT-20260222-171656-144294 outcome=failure path=/Users/quiznat/Desktop/Tree_of_Thought/phase2/benchmarks/runs/protocol_v4_confirmatory_matrix/game24_demo/qwen_qwen3_coder_next_novita/BASELINE-REACT-20260222-171656-144294.json
task=game24-demo item=g24-v4-014 condition=tot-prototype run_id=TOT-PROTOTYPE-20260222-171849-952e12 outcome=failure path=/Users/quiznat/Desktop/Tree_of_Thought/phase2/benchmarks/runs/protocol_v4_confirmatory_matrix/game24_demo/qwen_qwen3_coder_next_novita/TOT-PROTOTYPE-20260222-171849-952e12.json
error: item=g24-v4-012 index=11: The read operation timed out
warn: run=task=game24-demo model=Qwen/Qwen3-Coder-Next:novita returncode=2; retry_in=45s
run=task=game24-demo model=Qwen/Qwen3-Coder-Next:novita attempt=2/5
capability_parity_policy=equalize_react_to_tot
task_tools_available=['calc']
condition_tools_exposed={'single': [], 'react': [], 'tot': []}
capability_parity_adjustments=['react_tools_disabled_to_match_tot']
task=game24-demo item=g24-v4-008 condition=baseline-single-path run_id=BASELINE-SINGLE-PATH-20260222-173329-94240c outcome=failure path=/Users/quiznat/Desktop/Tree_of_Thought/phase2/benchmarks/runs/protocol_v4_confirmatory_matrix/game24_demo/qwen_qwen3_coder_next_novita/BASELINE-SINGLE-PATH-20260222-173329-94240c.json
task=game24-demo item=g24-v4-008 condition=baseline-react run_id=BASELINE-REACT-20260222-173334-d2ceb4 outcome=failure path=/Users/quiznat/Desktop/Tree_of_Thought/phase2/benchmarks/runs/protocol_v4_confirmatory_matrix/game24_demo/qwen_qwen3_coder_next_novita/BASELINE-REACT-20260222-173334-d2ceb4.json
task=game24-demo item=g24-v4-008 condition=tot-prototype run_id=TOT-PROTOTYPE-20260222-173346-d9b0aa outcome=success path=/Users/quiznat/Desktop/Tree_of_Thought/phase2/benchmarks/runs/protocol_v4_confirmatory_matrix/game24_demo/qwen_qwen3_coder_next_novita/TOT-PROTOTYPE-20260222-173346-d9b0aa.json
